Date,Vehicle_category,Maker,Electric_vehicles_sold,
"Apr,2021",2-Wheelers,OLA ELECTRIC,0,
"Apr,2022",2-Wheelers,OKAYA EV,0,
"May,2021",2-Wheelers,OLA ELECTRIC,0,
"Jun,2021",2-Wheelers,OLA ELECTRIC,0,
"Jul,2021",2-Wheelers,OLA ELECTRIC,0,
"Aug,2021",2-Wheelers,OLA ELECTRIC,0,
"Sep,2021",2-Wheelers,OLA ELECTRIC,0,
"Oct,2021",2-Wheelers,OLA ELECTRIC,0,
"Nov,2021",2-Wheelers,OLA ELECTRIC,0,
"Apr,2021",4-Wheelers,BYD India,0,
"Apr,2021",4-Wheelers,PCA Automobiles,0,
"Apr,2021",4-Wheelers,BMW India,0,
"Apr,2021",4-Wheelers,Volvo Auto India,0,
"Apr,2021",4-Wheelers,KIA Motors,0,
"Apr,2022",4-Wheelers,PCA Automobiles,0,
"Apr,2022",4-Wheelers,Volvo Auto India,0,
"Apr,2022",4-Wheelers,KIA Motors,0,
"May,2021",4-Wheelers,BYD India,0,
"May,2021",4-Wheelers,PCA Automobiles,0,
"May,2021",4-Wheelers,BMW India,0,
"May,2021",4-Wheelers,Mercedes -Benz AG,0,
"May,2021",4-Wheelers,Volvo Auto India,0,
"May,2021",4-Wheelers,KIA Motors,0,
"May,2022",4-Wheelers,PCA Automobiles,0,
"May,2022",4-Wheelers,Volvo Auto India,0,
"May,2022",4-Wheelers,KIA Motors,0,
"Jun,2021",4-Wheelers,BYD India,0,
"Jun,2021",4-Wheelers,PCA Automobiles,0,
"Jun,2021",4-Wheelers,BMW India,0,
"Jun,2021",4-Wheelers,Volvo Auto India,0,
"Jun,2021",4-Wheelers,KIA Motors,0,
"Jun,2022",4-Wheelers,PCA Automobiles,0,
"Jun,2022",4-Wheelers,Volvo Auto India,0,
"Jun,2022",4-Wheelers,KIA Motors,0,
"Jul,2021",4-Wheelers,BYD India,0,
"Jul,2021",4-Wheelers,PCA Automobiles,0,
"Jul,2021",4-Wheelers,BMW India,0,
"Jul,2021",4-Wheelers,Volvo Auto India,0,
"Jul,2021",4-Wheelers,KIA Motors,0,
"Jul,2022",4-Wheelers,PCA Automobiles,0,
"Jul,2022",4-Wheelers,Volvo Auto India,0,
"Jul,2022",4-Wheelers,KIA Motors,0,
"Aug,2021",4-Wheelers,BYD India,0,
"Aug,2021",4-Wheelers,PCA Automobiles,0,
"Aug,2021",4-Wheelers,BMW India,0,
"Aug,2021",4-Wheelers,Volvo Auto India,0,
"Aug,2021",4-Wheelers,KIA Motors,0,
"Aug,2022",4-Wheelers,PCA Automobiles,0,
"Aug,2022",4-Wheelers,Volvo Auto India,0,
"Aug,2022",4-Wheelers,KIA Motors,0,
"Sep,2021",4-Wheelers,BYD India,0,
"Sep,2021",4-Wheelers,PCA Automobiles,0,
"Sep,2021",4-Wheelers,BMW India,0,
"Sep,2021",4-Wheelers,Volvo Auto India,0,
"Sep,2021",4-Wheelers,KIA Motors,0,
"Sep,2022",4-Wheelers,PCA Automobiles,0,
"Sep,2022",4-Wheelers,Volvo Auto India,0,
"Sep,2022",4-Wheelers,KIA Motors,0,
"Oct,2021",4-Wheelers,BYD India,0,
"Oct,2021",4-Wheelers,PCA Automobiles,0,
"Oct,2021",4-Wheelers,BMW India,0,
"Oct,2021",4-Wheelers,Volvo Auto India,0,
"Oct,2021",4-Wheelers,KIA Motors,0,
"Oct,2022",4-Wheelers,PCA Automobiles,0,
"Oct,2022",4-Wheelers,Volvo Auto India,0,
"Nov,2021",4-Wheelers,BYD India,0,
"Nov,2021",4-Wheelers,PCA Automobiles,0,
"Nov,2021",4-Wheelers,BMW India,0,
"Nov,2021",4-Wheelers,Volvo Auto India,0,
"Nov,2021",4-Wheelers,KIA Motors,0,
"Nov,2022",4-Wheelers,PCA Automobiles,0,
"Dec,2021",4-Wheelers,PCA Automobiles,0,
"Dec,2021",4-Wheelers,BMW India,0,
"Dec,2021",4-Wheelers,Volvo Auto India,0,
"Dec,2021",4-Wheelers,KIA Motors,0,
"Dec,2022",4-Wheelers,PCA Automobiles,0,
"Jan,2022",4-Wheelers,PCA Automobiles,0,
"Jan,2022",4-Wheelers,BMW India,0,
"Jan,2022",4-Wheelers,Volvo Auto India,0,
"Jan,2022",4-Wheelers,KIA Motors,0,
"Jan,2023",4-Wheelers,PCA Automobiles,0,
"Feb,2022",4-Wheelers,PCA Automobiles,0,
"Feb,2022",4-Wheelers,BMW India,0,
"Feb,2022",4-Wheelers,Volvo Auto India,0,
"Feb,2022",4-Wheelers,KIA Motors,0,
"Feb,2023",4-Wheelers,PCA Automobiles,0,
"Mar,2022",4-Wheelers,PCA Automobiles,0,
"Mar,2022",4-Wheelers,KIA Motors,0,
"Apr,2022",4-Wheelers,Tata Motors,1409,
"Apr,2022",4-Wheelers,MG Motor,177,
"Apr,2022",4-Wheelers,Mahindra & Mahindra,611,
"Apr,2022",4-Wheelers,BYD India,15,
"Apr,2022",4-Wheelers,Hyundai Motor,17,
"Apr,2022",4-Wheelers,BMW India,12,
"Apr,2022",4-Wheelers,Mercedes -Benz AG,8,
"Apr,2023",4-Wheelers,Tata Motors,364,
"Apr,2023",4-Wheelers,MG Motor,265,
"Apr,2023",4-Wheelers,Mahindra & Mahindra,4880,
"Apr,2023",4-Wheelers,BYD India,156,
"Apr,2023",4-Wheelers,Hyundai Motor,42,
"Apr,2023",4-Wheelers,PCA Automobiles,181,
"Apr,2023",4-Wheelers,BMW India,51,
"Apr,2023",4-Wheelers,Mercedes -Benz AG,8,
"Apr,2023",4-Wheelers,Volvo Auto India,27,
"Apr,2023",4-Wheelers,KIA Motors,30,
"May,2021",4-Wheelers,Tata Motors,137,
"May,2021",4-Wheelers,MG Motor,39,
"May,2021",4-Wheelers,Mahindra & Mahindra,78,
"May,2021",4-Wheelers,Hyundai Motor,3,
"May,2022",4-Wheelers,Tata Motors,2097,
"May,2022",4-Wheelers,MG Motor,181,
"May,2022",4-Wheelers,Mahindra & Mahindra,622,
"May,2022",4-Wheelers,BYD India,30,
"May,2022",4-Wheelers,Hyundai Motor,19,
"May,2022",4-Wheelers,BMW India,6,
"May,2022",4-Wheelers,Mercedes -Benz AG,4,
"May,2023",4-Wheelers,Tata Motors,3212,
"May,2023",4-Wheelers,MG Motor,351,
"May,2023",4-Wheelers,Mahindra & Mahindra,3457,
"May,2023",4-Wheelers,BYD India,110,
"May,2023",4-Wheelers,Hyundai Motor,129,
"May,2023",4-Wheelers,PCA Automobiles,245,
"May,2023",4-Wheelers,BMW India,57,
"May,2023",4-Wheelers,Mercedes -Benz AG,9,
"May,2023",4-Wheelers,Volvo Auto India,34,
"May,2023",4-Wheelers,KIA Motors,36,
"Jun,2021",4-Wheelers,Tata Motors,572,
"Jun,2021",4-Wheelers,MG Motor,128,
"Jun,2021",4-Wheelers,Mahindra & Mahindra,106,
"Jun,2021",4-Wheelers,Hyundai Motor,10,
"Jun,2021",4-Wheelers,Mercedes -Benz AG,2,
"Jun,2022",4-Wheelers,Tata Motors,2169,
"Jun,2022",4-Wheelers,MG Motor,173,
"Jun,2022",4-Wheelers,Mahindra & Mahindra,787,
"Jun,2022",4-Wheelers,BYD India,36,
"Jun,2022",4-Wheelers,Hyundai Motor,39,
"Jun,2022",4-Wheelers,BMW India,4,
"Jun,2022",4-Wheelers,Mercedes -Benz AG,2,
"Jun,2023",4-Wheelers,Tata Motors,3671,
"Jun,2023",4-Wheelers,MG Motor,877,
"Jun,2023",4-Wheelers,Mahindra & Mahindra,2574,
"Jun,2023",4-Wheelers,BYD India,140,
"Jun,2023",4-Wheelers,Hyundai Motor,121,
"Jun,2023",4-Wheelers,PCA Automobiles,254,
"Jun,2023",4-Wheelers,BMW India,76,
"Jun,2023",4-Wheelers,Mercedes -Benz AG,14,
"Jun,2023",4-Wheelers,Volvo Auto India,33,
"Jun,2023",4-Wheelers,KIA Motors,30,
"Jul,2021",4-Wheelers,Tata Motors,696,
"Jul,2021",4-Wheelers,MG Motor,232,
"Jul,2021",4-Wheelers,Mahindra & Mahindra,171,
"Jul,2021",4-Wheelers,Hyundai Motor,18,
"Jul,2021",4-Wheelers,Mercedes -Benz AG,1,
"Jul,2022",4-Wheelers,Tata Motors,2264,
"Jul,2022",4-Wheelers,MG Motor,194,
"Jul,2022",4-Wheelers,Mahindra & Mahindra,866,
"Jul,2022",4-Wheelers,BYD India,32,
"Jul,2022",4-Wheelers,Hyundai Motor,45,
"Jul,2022",4-Wheelers,BMW India,4,
"Jul,2022",4-Wheelers,Mercedes -Benz AG,1,
"Jul,2023",4-Wheelers,Tata Motors,3823,
