Date,State,Vehicle_category,Electric_vehicles_sold,Total_vehicles_sold
"Apr,2021",Sikkim,2-Wheelers,0,398
"Apr,2021",Sikkim,4-Wheelers,0,361
"May,2021",Sikkim,2-Wheelers,0,113
"May,2021",Sikkim,4-Wheelers,0,98
"Jun,2021",Sikkim,2-Wheelers,0,229
"Jun,2021",Sikkim,4-Wheelers,0,244
"Jul,2021",Sikkim,2-Wheelers,0,458
"Jul,2021",Sikkim,4-Wheelers,0,452
"Aug,2021",Sikkim,2-Wheelers,0,489
"Aug,2021",Sikkim,4-Wheelers,0,408
"Sep,2021",Sikkim,2-Wheelers,0,540
"Sep,2021",Sikkim,4-Wheelers,0,355
"Oct,2021",Sikkim,2-Wheelers,0,455
"Oct,2021",Sikkim,4-Wheelers,0,345
"Nov,2021",Sikkim,2-Wheelers,0,478
"Nov,2021",Sikkim,4-Wheelers,0,351
"Dec,2021",Sikkim,2-Wheelers,0,454
"Dec,2021",Sikkim,4-Wheelers,0,394
"Jan,2022",Sikkim,2-Wheelers,0,400
"Jan,2022",Sikkim,4-Wheelers,0,270
"Feb,2022",Sikkim,2-Wheelers,0,384
"Feb,2022",Sikkim,4-Wheelers,0,371
"Mar,2022",Sikkim,2-Wheelers,0,460
"Mar,2022",Sikkim,4-Wheelers,0,390
"Apr,2022",Sikkim,2-Wheelers,0,455
"Apr,2022",Sikkim,4-Wheelers,0,380
"May,2022",Sikkim,2-Wheelers,0,461
"May,2022",Sikkim,4-Wheelers,0,421
"Jun,2022",Sikkim,2-Wheelers,0,429
"Jun,2022",Sikkim,4-Wheelers,0,446
"Jul,2022",Sikkim,2-Wheelers,0,409
"Jul,2022",Sikkim,4-Wheelers,0,439
"Aug,2022",Sikkim,2-Wheelers,0,394
"Aug,2022",Sikkim,4-Wheelers,0,421
"Sep,2022",Sikkim,2-Wheelers,0,443
"Sep,2022",Sikkim,4-Wheelers,0,581
"Oct,2022",Sikkim,2-Wheelers,0,371
"Oct,2022",Sikkim,4-Wheelers,0,340
"Nov,2022",Sikkim,2-Wheelers,0,431
"Nov,2022",Sikkim,4-Wheelers,0,411
"Dec,2022",Sikkim,2-Wheelers,0,274
"Dec,2022",Sikkim,4-Wheelers,0,288
"Jan,2023",Sikkim,2-Wheelers,0,470
"Jan,2023",Sikkim,4-Wheelers,0,420
"Feb,2023",Sikkim,2-Wheelers,0,324
"Feb,2023",Sikkim,4-Wheelers,0,364
